ID,TopConfigs
tile:xla:c7e7e9d17a000e73a1814f6408ba034b,43;9;33;58;20;30;64;14;21;11
tile:xla:a65e9dec44492a7099775bcd53e27792,766;812;1013;991;139;172;535;821;954;135
tile:xla:907ee1ff31d24deb77fc84fbfd1bf63e,11;1;13;2;3;4;8;10;15;16
tile:xla:2332bcb3cc58e090c42c110d0ac74f91,2709;1258;1469;2503;2269;1110;352;2958;2096;1737
tile:xla:ca9db0281e9eab6b6312ff550434b199,10;22;30;4;39;15;11;25;42;2
tile:xla:ac33f086b29e0026af2a63efc3c703d1,0;7;5;1;3;4;2;6;0;0
tile:xla:e7b61b14387252e36dd3e7ac209b96b0,135;410;292;233;378;278;143;112;167;189
tile:xla:38e3f75abe1afdb180d31b35af3aa9a8,56;1;58;59;88;14;19;77;0;21
tile:xla:5c2478b5096ccfad72986eb07515676f,46;54;23;69;68;12;65;84;20;8
tile:xla:1bfe6f8cf7ccca23509cac8c4f05dabf,153;222;28;121;555;1086;1307;2415;341;1953
tile:xla:1262c284f35d8c83f6e6aa2f19faf889,4043;3931;2700;21;4004;3928;2499;5022;2863;1327
tile:xla:e5ad8683c4ab005b199acbcd999f6ade,1512;3520;6788;1192;5246;1526;7447;7565;1019;2731
tile:xla:967f7a5825dc70155c665e60c593a993,541;599;2805;1722;1078;528;3003;1321;2920;661
tile:xla:d700a8ca28a5904ea8649116e7e6df12,31;692;270;357;688;497;29;63;249;630
tile:xla:6dc2d8b49f54274c8e7dc9c2f58149c0,14;300;291;235;349;493;412;175;199;238
tile:xla:9fff30d7a7f5c57c7014d78e9c9bb3b8,30;158;24;49;55;197;168;22;7;123
tile:xla:4d1aaf660cf1e107f11e76da66b4671a,225;108;396;41;389;404;337;325;155;408
tile:xla:c5a94893723e87e0810192aebbfd0101,134;304;447;56;262;321;109;233;18;264
tile:xla:e2b3c904deebf04573bd85ddfe7e9d30,100;99;104;52;79;60;85;35;125;88
tile:xla:b1fe4b41e447a71c0d2bfcb4fbae2fc4,49;36;183;89;161;23;186;61;56;141
tile:xla:34a2312250b792c67d220000e948c2c7,508;552;374;310;414;55;185;201;211;249
tile:xla:30d3f9906adbec55c446b6df344e4684,5;2;0;4;1;3;0;0;0;0
tile:xla:fc44be181e5c25d49f57de9f153e96b4,1137;109;503;1883;302;554;325;238;1126;1996
tile:xla:634f6cf6b88b10b12100a4671ca6c759,36;110;24;50;0;6;8;103;62;81
tile:xla:a3a3eb00797bf84b8deb3f89e21dd028,24;3;22;6;21;9;1;13;20;8
tile:xla:3cebc9308d0e1085777e5aaf2cf5ca88,2;0;4;5;8;9;10;12;14;20
tile:xla:e3117179f15a429d88cbaf543b59bfca,934;246;889;1143;92;140;326;395;884;940
tile:xla:fbdd5a475b7a9e89dcd0dd0e0b6b3828,360;143;164;234;181;681;835;498;202;383
tile:xla:50233c4ad6ebb1ee296cb6258d2240fb,843;1243;1673;2607;2895;3419;3546;4425;127;155
tile:xla:6ff2fe0ad9f8d3dcad421d0aabc68cb3,110;69;84;49;41;115;18;138;35;117
tile:xla:21360a2946aaf30ad0bec612bf397425,75;48;25;15;32;36;66;18;72;28
tile:xla:4ee70376fe5cf2d9cdcb6a1586ff81b6,338;220;389;410;534;196;74;475;737;609
tile:xla:37702040de6a1ba79e30e327fda32ff0,8847;3181;9853;9456;5045;856;6803;7992;2893;5096
tile:xla:4862551bf0c916c347380b4b187a6d00,58;164;54;52;111;197;153;152;68;139
tile:xla:a694aaa6e3feb7fd7ed86d93f0960827,24;38;9;1;52;23;22;14;39;50
tile:xla:76c81b6d5a1ae14c470ce1a3aa75885a,1638;2268;1121;1608;289;2031;224;655;2916;141
tile:xla:37365d504334335d27589029e5dba2ea,7442;4734;8750;6378;9683;7509;9012;7682;2386;8425
tile:xla:d674484b07dd75b9fb7cec69ffcb83c3,137;194;238;266;309;405;67;368;262;324
tile:xla:3390c748f3374c80153ad47b983faea2,84;54;16;36;45;59;63;76;85;99
tile:xla:076ff2d5d77f006c96b171cc1962fe48,743;24;641;154;301;451;268;230;513;379
tile:xla:287224a3ce2d583db79e6e956c8fcb77,176;232;341;477;428;163;164;68;189;308
tile:xla:b02682dd87ef664e340e7809e7c7f93a,2388;407;2569;794;417;958;1797;2599;526;968
tile:xla:209eb548aa33e5e3376785ae8bd262b8,131;278;397;164;354;371;223;297;198;302
tile:xla:3ba313ae4e95243c9a2a7a5fb5a4f096,926;230;439;427;523;200;101;519;831;420
tile:xla:5335b1489ad111732b7460fb4afd45ed,871;576;72;398;365;642;490;74;849;976
tile:xla:554f974f026f3645d7e301479f0ed9e6,2;16;8;5;13;3;6;1;24;22
tile:xla:7eaa86c92baa7e112c6dba9215b4e9b0,683;718;16;293;526;275;488;619;687;555
tile:xla:08dc5f54478cabe5b1a2b08883da60e4,8368;4863;7656;3495;4580;1559;4196;3897;6451;1542
tile:xla:ffa452493cbec7e4d2fee040879f98ae,1262;1122;632;1068;600;983;815;1333;1474;426
tile:xla:d7319340546a2feb855eb43a5eca512c,1297;380;2922;7958;8451;5802;8093;177;246;8904
tile:xla:b52fa4fa11d4f675d8c3f44fe582f7a5,4725;7209;918;1935;2982;51;1348;3796;6005;1470
tile:xla:21c9cd174bcc6b619c3ba81c06d40df1,205;181;28;101;127;164;134;103;199;16
tile:xla:6a871664913c444531f15191336f42fb,17;27;5;45;33;48;43;51;4;0
tile:xla:6c9569b6cc9662696a9fef67adb6117b,355;572;856;403;577;420;452;693;328;80
tile:xla:08bb62307395882da4a489ec932e1a4f,5615;5579;6199;3009;1309;1809;3553;2696;4906;5287
tile:xla:6692f7a6518c17063aa533b496043c73,5;3;2;1;0;4;0;0;0;0
tile:xla:99d149bb28782835548a62b2a86b17e9,1301;567;1218;329;1278;483;214;921;1368;298
tile:xla:c8f9d0e212f3a4dd88a117ea15ebb0dd,1;414;1148;884;688;305;1117;37;840;318
tile:xla:06b6b24f68232a7d19187a4ee3a2b9b1,688;13;163;663;771;17;716;481;426;137
tile:xla:8565a3bce440f4feb1d59357b5f172ca,37;72;27;45;66;68;39;6;40;42
tile:xla:b095cbf276fea5b19b40f6fa80f2fc11,33;50;101;193;1540;1472;532;730;35;45
tile:xla:712775a7172527588e3c77af15c10591,9883;9059;1708;4500;1610;8185;2618;1247;8074;5373
tile:xla:4046fb97b72bea6304469200b6cca977,154;47;28;61;71;265;123;185;248;65
tile:xla:8742b8851f04772a4e62f240a6e8479f,180;56;35;157;221;106;753;58;2;386
