ID,TopConfigs
tile:xla:0023795810403f8b0b244d88c901322f,1496;3616;4911;3903;3075;4821;464;1511;1638;1850
tile:xla:005c91ca7a50fffc663678fd44316f04,211;599;645;127;25;682;492;342;433;121
tile:xla:0070642211d5a98a16b94f4d7df229fe,843;561;69;197;11;58;1017;580;883;727
tile:xla:008191e0c67a6e7a62cde1a3e1d66795,1231;1078;1271;879;1421;748;968;905;532;462
tile:xla:008730b43f100be7c2800d7cb89578a4,855;565;288;382;1015;636;638;220;124;205
tile:xla:009040dea1165803d6af5279ee67e941,66;18;7;15;46;61;12;67;58;54
tile:xla:009743ae0b7421c0ba735134e658d70e,6109;8376;5582;7534;2147;8339;6649;3489;2232;8220
tile:xla:015cd725adcf2df7ec863bd1d9abf058,553;1440;2646;2811;1575;2591;2271;351;1624;583
tile:xla:0290924419976cd8cdcddd0b5288e9d7,1155;389;303;954;96;901;710;801;522;28
tile:xla:029880c396f26948e1afbeed8cef9359,165;215;243;390;335;276;35;95;217;24
tile:xla:02c3fb6c0fe263318106bd86942c9ba7,4619;220;461;2156;2567;4505;109;4807;1959;3499
tile:xla:02df75f5a82412dcfd3989a5a12ee279,953;1051;1305;1248;537;1485;1028;1151;76;581
tile:xla:038af90a3a43967d62556ed734835c8a,2458;1054;9382;7404;7582;2373;9528;3976;9064;382
tile:xla:045ce8fc9aee4ddf82c54c0067c8af5e,1755;3573;3097;4816;8088;6099;5249;5041;1672;8156
tile:xla:049295205e7eba22599751ad598cfa41,114;73;42;115;123;20;33;19;1;128
tile:xla:04ae9238c653f8ae08f60f2c03615f0b,749;117;333;610;681;226;298;386;617;337
tile:xla:04f395ae8566cd29ae6eb122b6480ba3,280;267;11;54;369;7;73;136;142;150
tile:xla:05a0405379b68cb5bb54680646eb97c6,1895;2562;2020;1182;558;2223;1145;193;934;12
tile:xla:05c0abccd28e57709cb7398bb0b70bf9,3173;3223;4636;5901;6512;5747;7763;292;2776;4072
tile:xla:061c41ae2ccda6b7e1fcecaafd5e2008,1133;1092;46;129;354;583;152;245;177;846
tile:xla:06b6b24f68232a7d19187a4ee3a2b9b1,79;150;189;867;116;130;58;987;768;794
tile:xla:0711c0f29bac9c9b912fe57d4a31be88,18;43;38;35;28;0;27;33;7;19
tile:xla:073c015cf2ebf91d3b4d94893da31a33,873;964;352;1033;175;807;503;217;990;746
tile:xla:074af5318871232370543bf5bf2e991b,594;358;269;125;126;97;615;630;474;38
tile:xla:076ff2d5d77f006c96b171cc1962fe48,237;112;119;614;505;141;217;219;24;750
tile:xla:07d2051941691e3b36a0d58232d9c34f,71;45;30;46;47;148;69;132;73;119
tile:xla:07d922af667a7a4399fa80edd648ae7f,490;5624;5789;2617;2673;2768;4150;4597;6206;6816
tile:xla:0803ae2b827a5a92e8b2b80312e2350a,1;4;2;7;5;3;6;0;0;0
tile:xla:08bb62307395882da4a489ec932e1a4f,7008;7178;2617;8251;654;7360;1929;1154;7961;6182
tile:xla:08bf844bda28efb17644fe3fb7fcc082,867;310;764;442;504;986;838;207;759;369
tile:xla:08cdfab1c86ecfe243bc7ed2065ca7b0,1299;692;475;1149;1132;382;517;398;93;262
tile:xla:08dc5f54478cabe5b1a2b08883da60e4,293;3618;8747;1589;3165;892;5808;2432;4845;7482
tile:xla:0913ee063d72cf059912035e08a86862,195;362;315;528;701;707;257;312;218;88
tile:xla:09df213cc5f3be5e3922190736afae9b,2447;4356;1409;2542;2673;425;2524;2102;2897;119
tile:xla:0a1c5dcfa9f1f4ebcc1282a1d1ca8ecb,0;1;2;3;4;5;6;7;8;9
tile:xla:0a3585c3e686065389227fa374175e48,1253;572;1066;1257;62;950;672;63;688;230
tile:xla:0a8a2b247d7a20b9dcab1daf50066a4d,11;133;464;430;589;252;493;126;792;632
tile:xla:0abaea94d7b0a1c1f1b0bd23b73ce38c,3;21;41;26;45;37;22;1;18;12
tile:xla:0ac539372cc77cc6791794b369b984e1,550;561;732;752;1175;1178;1690;2467;2549;2568
tile:xla:0afa527a7022415fda1dd69d11e908a4,158;69;164;192;106;187;29;16;145;134
tile:xla:0b1983055544b0277319cb706f11bf56,3;4;7;6;5;2;1;0;0;0
