ID,TopConfigs
tile:xla:0023795810403f8b0b244d88c901322f,464;1511;1638;1850;2367;2494;2536;2878;3024;3553
tile:xla:005c91ca7a50fffc663678fd44316f04,529;289;310;213;631;79;454;395;76;117
tile:xla:0070642211d5a98a16b94f4d7df229fe,254;568;970;813;464;934;1023;566;626;425
tile:xla:008191e0c67a6e7a62cde1a3e1d66795,176;195;221;292;583;726;792;978;1077;1099
tile:xla:008730b43f100be7c2800d7cb89578a4,390;206;593;316;1053;71;171;871;146;923
tile:xla:009040dea1165803d6af5279ee67e941,31;42;56;16;59;58;54;29;46;61
tile:xla:009743ae0b7421c0ba735134e658d70e,7198;6203;4517;4977;7355;4530;8129;8299;1986;5161
tile:xla:015cd725adcf2df7ec863bd1d9abf058,865;1072;1251;2150;2801;2825;3192;3204;801;266
tile:xla:0290924419976cd8cdcddd0b5288e9d7,55;322;209;740;910;315;393;1050;28;450
tile:xla:029880c396f26948e1afbeed8cef9359,335;155;329;252;214;97;93;107;277;385
tile:xla:02c3fb6c0fe263318106bd86942c9ba7,5602;6124;6941;8720;3510;6863;2332;8025;503;4523
tile:xla:02df75f5a82412dcfd3989a5a12ee279,692;651;137;271;995;1402;847;1129;214;1124
tile:xla:038af90a3a43967d62556ed734835c8a,9573;1121;1548;3832;8520;8457;3073;5734;2730;3767
tile:xla:045ce8fc9aee4ddf82c54c0067c8af5e,961;6639;2818;2086;1701;1081;975;3072;5894;5200
tile:xla:049295205e7eba22599751ad598cfa41,115;19;1;33;128;7;69;73;104;81
tile:xla:04ae9238c653f8ae08f60f2c03615f0b,749;117;333;127;29;203;305;316;368;408
tile:xla:04f395ae8566cd29ae6eb122b6480ba3,216;384;70;52;310;202;302;147;293;34
tile:xla:05a0405379b68cb5bb54680646eb97c6,2389;2342;1212;1104;657;496;791;1079;2192;183
tile:xla:05c0abccd28e57709cb7398bb0b70bf9,5778;971;2661;5173;872;1833;1186;6153;461;4848
tile:xla:061c41ae2ccda6b7e1fcecaafd5e2008,101;205;439;453;530;625;863;1207;1216;1260
tile:xla:06b6b24f68232a7d19187a4ee3a2b9b1,13;17;73;137;163;412;426;481;663;716
tile:xla:0711c0f29bac9c9b912fe57d4a31be88,38;35;18;43;7;51;19;33;13;39
tile:xla:073c015cf2ebf91d3b4d94893da31a33,711;409;962;482;179;873;1142;770;939;859
tile:xla:074af5318871232370543bf5bf2e991b,242;582;93;635;208;688;631;413;542;284
tile:xla:076ff2d5d77f006c96b171cc1962fe48,119;614;112;237;505;24;141;750;219;217
tile:xla:07d2051941691e3b36a0d58232d9c34f,74;91;132;71;53;98;149;6;45;49
tile:xla:07d922af667a7a4399fa80edd648ae7f,6185;7005;8140;4858;7622;1677;2008;5171;7736;8090
tile:xla:0803ae2b827a5a92e8b2b80312e2350a,5;7;3;2;4;1;6;0;0;0
tile:xla:08bb62307395882da4a489ec932e1a4f,3043;1852;8564;2752;5918;7422;850;2518;895;111
tile:xla:08bf844bda28efb17644fe3fb7fcc082,369;759;1244;426;310;76;1653;126;764;497
tile:xla:08cdfab1c86ecfe243bc7ed2065ca7b0,133;1175;1130;750;964;689;1227;1265;47;811
tile:xla:08dc5f54478cabe5b1a2b08883da60e4,7805;281;630;5936;7502;3536;2241;7190;3312;1495
tile:xla:0913ee063d72cf059912035e08a86862,528;315;701;707;362;257;425;312;218;88
tile:xla:09df213cc5f3be5e3922190736afae9b,1196;182;1504;3760;163;220;672;2134;905;4305
tile:xla:0a1c5dcfa9f1f4ebcc1282a1d1ca8ecb,0;1;2;3;4;5;6;7;8;9
tile:xla:0a3585c3e686065389227fa374175e48,599;713;239;607;70;122;215;248;383;1223
tile:xla:0a8a2b247d7a20b9dcab1daf50066a4d,453;599;632;147;63;91;206;225;259;521
tile:xla:0abaea94d7b0a1c1f1b0bd23b73ce38c,41;3;21;26;45;37;12;1;40;35
tile:xla:0ac539372cc77cc6791794b369b984e1,550;561;732;752;1175;1178;1690;2467;2549;2568
tile:xla:0afa527a7022415fda1dd69d11e908a4,158;210;212;20;25;38;79;87;109;120
tile:xla:0b1983055544b0277319cb706f11bf56,6;7;5;4;2;3;1;0;0;0
tile:xla:0d23832b4d6670db056226014176e4af,4205;4305;992;829;4266;3216;4256;5128;103;692
tile:xla:0dda1d26ec2609bec11ef9661f529bfb,70;116;83;20;22;38;57;100;108;111
tile:xla:0de02b077422c57c3282f04bdcae1fdf,0;14;45;118;66;53;122;28;95;24
tile:xla:0e1d33b1970552b377d424b806132711,1032;2449;1664;3665;4054;192;1409;2481;3573;863
tile:xla:0e666fc96496dd3049f4a3ce9b3bf4dc,1020;1655;510;1928;2134;2579;2849;775;912;543
tile:xla:0e6e4837cc6125e58e2afcf7e9804584,725;120;234;130;510;1163;1563;1425;828;131
tile:xla:0e7d77d9118d564df7ebd3bc61086e2b,367;419;718;664;801;213;627;320;114;591
tile:xla:0ec5369adfde7c2b8e52d97990becee8,1290;5287;4251;852;1980;2303;1262;5195;2497;4159
tile:xla:0ed6f75b75ba97c4a9dee913e3690f2a,2530;5048;566;8217;9378;9076;1665;6426;4753;5972
tile:xla:0f49adf7da68c0f9b69405d6d863816b,584;349;35;343;354;256;503;586;88;44
tile:xla:0f4f897211283a93ca279575ac231d5a,3209;2722;741;2499;4157;1672;3811;488;4749;589
tile:xla:0f8b6139f6d128f1fc0482a35050448d,8782;1629;4508;4610;60;3888;2584;1449;3576;997
tile:xla:0f9fde2acd8eea35157488571e1bc1ae,118;50;253;0;31;32;109;138;304;248
tile:xla:0fd5945bea27dee5d3e4ea7ccf012e06,2125;4368;3843;652;1277;1375;2127;2172;3076;3475
tile:xla:1000f473d6c618219fdfb6c4eeb9f03f,77;450;260;543;26;54;170;396;290;139
tile:xla:104b674432f698be9d1164c5abd6db75,969;404;786;691;1454;1281;1284;990;882;140
tile:xla:106cefc4a7230c15586f1ed457232c6d,4667;1505;2164;6141;2303;672;9269;2430;8811;6607
tile:xla:10a02953356f912fd0a6f4be23b9dd9e,165;591;205;604;372;407;308;291;530;592
tile:xla:10b37e0464c9dc1c70ac26626e5beb70,489;924;229;528;704;874;439;334;469;802
tile:xla:10e126d03e8451966ec3082875cdce02,102;76;160;204;203;146;50;136;38;111
tile:xla:11569b31e163289279988ae47bf50177,11;4;5;3;2;7;1;10;6;13
tile:xla:1179db33653909e17eddceb731a5d92a,184;236;175;401;405;377;135;427;351;416
tile:xla:119a97d54473021402f5f1d362d1a129,4;1;6;8;12;14;16;17;18;19
tile:xla:120d4e4b6ec49cb6ab32f527704e4610,8830;5844;5759;8302;879;496;321;2762;6490;4934
tile:xla:1262c284f35d8c83f6e6aa2f19faf889,2502;829;336;3835;5041;350;4919;3698;1177;1580
tile:xla:12a232c7bb624792e902c3dfcd42b706,42;88;23;68;53;91;8;38;19;77
tile:xla:136b5499a5411037285d59e0b2b21ca1,114;470;269;611;1;541;380;287;372;57
tile:xla:13bf46020490a2a812528dabd5a47823,881;603;219;796;59;94;117;136;446;655
tile:xla:14847f95e52bfa2da0565e4f05eadd0e,1;10;21;11;18;19;8;25;9;4
tile:xla:148fe6237924d9a64faf8289115d6050,61;48;136;74;123;45;2;15;49;125
tile:xla:14faba54480440b977ab29f97770ad28,42;9;0;22;16;19;18;27;14;8
tile:xla:150b0b4d911eb9c0923c34f80af22be4,666;290;642;154;725;670;697;36;590;473
tile:xla:1544612e369833deae23e81cd90cc5bf,64;1;5;11;14;15;33;49;56;62
tile:xla:155a7cf472204eb76b052c496536c0a8,148;289;477;159;510;290;109;212;127;11
tile:xla:158d794a0870c5166bf7900622032d95,164;264;886;1513;1014;1383;1219;1083;307;317
tile:xla:159061a0da97566cd04d0c51ee0efbbf,2591;4121;6759;4107;4406;108;3949;4494;1575;3432
tile:xla:159d90cce2f0df252cc0f6f21728e6b8,1667;930;4086;4843;1871;546;2250;353;726;4451
tile:xla:15b5fa7228c41027de7ff2b131827982,71;25;30;1;6;8;10;24;26;55
tile:xla:15f6904c770c8dc50d4359c664d95531,819;173;509;1071;267;82;667;16;48;404
tile:xla:162728365ee29c87c0c949d8d835736a,111;63;251;91;99;69;72;68;223;192
tile:xla:16b302030606136527dc215d11aa3ef0,184;59;49;8;23;55;73;109;251;288
tile:xla:16c4e5535f133899e026d1b219af8574,144;432;68;158;516;201;711;623;219;674
tile:xla:171416b221d3a5043bb01cea0d75da5e,25;28;37;17;5;31;19;16;29;38
tile:xla:17680ef6b07a04d302bfc3c71c4dc68d,21;135;100;24;79;46;101;105;61;130
tile:xla:17a4adc3a7ab057b1b18c938da37f8a8,160;534;535;896;689;389;541;581;956;984
tile:xla:1801aa06ea4a78e54823fdb1a2d33a59,2;1;0;0;0;0;0;0;0;0
tile:xla:181083d8d0f89d13dd24cd26daaf7d0f,24;0;2;6;7;10;15;17;18;20
tile:xla:182d6b42dfdedbb2ba7d0f20e39e1827,1198;4127;4557;2958;642;3868;534;4771;1542;4476
tile:xla:18799e8fd250d912738b05d04fe3512c,133;415;50;46;221;237;265;392;395;377
tile:xla:18df50b542340951a728e52690eade41,435;467;14;239;63;0;124;414;106;78
tile:xla:1957d4e65406d44b9d8c9cb9a4d05183,3;1;2;0;5;6;4;0;0;0
tile:xla:1a852010b8bf8e6d6cd7fd865a5df1a1,62;67;54;52;73;9;23;46;22;44
tile:xla:1af25bf59b2d76999372b9962efe5a65,5458;1136;1971;4203;7360;7682;7372;5403;7829;5481
tile:xla:1b852ae6416fca717ef720c3bca35296,1041;565;371;1315;690;1428;411;346;115;1287
tile:xla:1b89e86624bb8db043adc8e3418d85bc,46;240;416;255;347;174;279;530;369;531
tile:xla:1bb6b54121813753b66aa895680b5ba0,369;560;321;95;75;246;214;208;525;554
tile:xla:1bfe6f8cf7ccca23509cac8c4f05dabf,2602;2223;895;1387;2490;28;121;222;341;555
tile:xla:1c63a1f85ddf97b1a930e59131d16268,2948;3973;1897;3590;1641;3716;4209;3800;3882;619
