ID,TopConfigs
tile:xla:0023795810403f8b0b244d88c901322f,464;1511;1638;1850;2367;2494;2536;2878;3024;3553
tile:xla:005c91ca7a50fffc663678fd44316f04,21;208;288;368;376;498;502;588;623;544
tile:xla:0070642211d5a98a16b94f4d7df229fe,577;254;189;813;863;568;805;970;283;84
tile:xla:008191e0c67a6e7a62cde1a3e1d66795,176;195;221;292;583;726;792;978;1077;1099
tile:xla:008730b43f100be7c2800d7cb89578a4,218;495;540;302;550;498;886;1009;458;772
tile:xla:009040dea1165803d6af5279ee67e941,46;61;18;58;54;16;59;42;31;66
tile:xla:009743ae0b7421c0ba735134e658d70e,7198;1810;4977;6203;8129;4387;4530;4517;7211;8846
tile:xla:015cd725adcf2df7ec863bd1d9abf058,865;1072;1251;2150;2801;2825;3192;3204;801;266
tile:xla:0290924419976cd8cdcddd0b5288e9d7,55;393;322;553;659;24;910;209;964;972
tile:xla:029880c396f26948e1afbeed8cef9359,214;335;252;97;107;155;277;329;181;93
tile:xla:02c3fb6c0fe263318106bd86942c9ba7,3499;3756;8659;5712;2156;2567;8549;1020;5540;7667
tile:xla:02df75f5a82412dcfd3989a5a12ee279,632;990;479;349;1268;124;452;402;918;561
tile:xla:038af90a3a43967d62556ed734835c8a,1121;9573;1548;3832;69;8457;3073;6002;3767;5117
tile:xla:045ce8fc9aee4ddf82c54c0067c8af5e,961;1081;6639;8178;2818;4939;975;1415;2528;4635
tile:xla:049295205e7eba22599751ad598cfa41,115;19;1;33;128;69;7;104;73;135
tile:xla:04ae9238c653f8ae08f60f2c03615f0b,749;127;117;746;554;333;29;203;305;316
tile:xla:04f395ae8566cd29ae6eb122b6480ba3,147;70;171;34;216;360;241;310;52;293
tile:xla:05a0405379b68cb5bb54680646eb97c6,2389;2342;791;1079;1212;1104;496;657;834;1304
tile:xla:05c0abccd28e57709cb7398bb0b70bf9,907;7795;422;971;6357;3328;1324;2748;1833;872
tile:xla:061c41ae2ccda6b7e1fcecaafd5e2008,101;205;439;453;530;625;863;1207;1216;1260
tile:xla:06b6b24f68232a7d19187a4ee3a2b9b1,13;17;73;137;163;412;426;481;663;716
tile:xla:0711c0f29bac9c9b912fe57d4a31be88,38;35;18;51;7;43;19;33;13;34
tile:xla:073c015cf2ebf91d3b4d94893da31a33,472;24;199;711;409;482;939;1142;962;859
tile:xla:074af5318871232370543bf5bf2e991b,635;242;208;688;284;213;542;209;678;582
tile:xla:076ff2d5d77f006c96b171cc1962fe48,119;614;24;141;112;750;237;379;743;775
tile:xla:07d2051941691e3b36a0d58232d9c34f,108;48;34;143;125;27;24;20;120;88
tile:xla:07d922af667a7a4399fa80edd648ae7f,2008;6185;8140;7005;5171;7736;2617;2673;2768;4150
tile:xla:0803ae2b827a5a92e8b2b80312e2350a,2;7;5;4;3;1;6;0;0;0
tile:xla:08bb62307395882da4a489ec932e1a4f,2146;8704;4650;1086;3953;4474;8410;5642;5167;2755
tile:xla:08bf844bda28efb17644fe3fb7fcc082,1031;586;1491;288;1377;1462;248;909;1344;1387
tile:xla:08cdfab1c86ecfe243bc7ed2065ca7b0,133;1175;1130;964;1222;750;689;1227;478;530
tile:xla:08dc5f54478cabe5b1a2b08883da60e4,7862;4185;354;281;8254;7595;4262;7210;5847;3536
tile:xla:0913ee063d72cf059912035e08a86862,701;707;257;312;528;218;425;88;101;464
tile:xla:09df213cc5f3be5e3922190736afae9b,1504;182;142;1927;4305;1196;905;1052;1667;2774
tile:xla:0a1c5dcfa9f1f4ebcc1282a1d1ca8ecb,0;1;2;3;4;5;6;7;8;9
tile:xla:0a3585c3e686065389227fa374175e48,599;1024;70;122;215;248;383;1223;755;542
tile:xla:0a8a2b247d7a20b9dcab1daf50066a4d,539;8;99;181;89;368;425;188;626;369
tile:xla:0abaea94d7b0a1c1f1b0bd23b73ce38c,41;3;21;26;37;45;12;35;1;32
tile:xla:0ac539372cc77cc6791794b369b984e1,550;561;732;752;1175;1178;1690;2467;2549;2568
tile:xla:0afa527a7022415fda1dd69d11e908a4,158;210;212;20;25;38;79;87;109;120
tile:xla:0b1983055544b0277319cb706f11bf56,6;7;5;4;3;2;1;0;0;0
tile:xla:0d23832b4d6670db056226014176e4af,4305;829;3527;3732;4119;4918;3634;4472;690;2674
tile:xla:0dda1d26ec2609bec11ef9661f529bfb,70;116;83;20;22;38;57;100;108;111
tile:xla:0de02b077422c57c3282f04bdcae1fdf,3;52;15;112;57;78;50;16;19;95
tile:xla:0e1d33b1970552b377d424b806132711,1461;2449;4024;384;2895;1032;610;192;2290;4216
tile:xla:0e666fc96496dd3049f4a3ce9b3bf4dc,2579;2849;912;1400;2134;1928;1497;1574;2841;2128
tile:xla:0e6e4837cc6125e58e2afcf7e9804584,130;725;120;234;1425;1563;510;1439;751;1163
tile:xla:0e7d77d9118d564df7ebd3bc61086e2b,856;38;94;394;602;737;742;23;538;667
tile:xla:0ec5369adfde7c2b8e52d97990becee8,1290;5287;4251;852;2303;1262;5195;2497;1980;275
